"","ID","C.1","C.2","C.3","T.1","T.2","T.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","1030",12168,1593,8852,36083,14586,19580,-2.48219632384564,9.80466243542317,-2.99765016081191,0.0147460611292036,0.999895351600856,-4.54252157499759
"2","10380",0,1,28,15,16,18,-3.45984923454022,-0.849228850537058,-2.06053772432918,0.0689167482987962,0.999895351600856,-4.58904716894231
"3","1222",734,992,500,1410,778,1198,-1.16168194804666,6.1691761985423,-2.12320841601799,0.0622199913725316,0.999895351600856,-4.55806770653073
"4","1395",14370,2925,776,2305,219,758,1.54850101462362,6.95346821542451,2.20745663024262,0.0542009873712783,0.999895351600856,-4.55647267759351
"5","2558",242,21,127,10,0,10,3.74017315904149,0.567637426785073,2.4024012239938,0.039319794758516,0.999895351600856,-4.5851730755032
"6","2564",347,104,381,560,463,332,-1.53134031127391,4.72778412581054,-2.13130087086978,0.0614024008982046,0.999895351600856,-4.56044896479945
"7","2568",0,0,11,41,14,8,-4.17958189840481,-1.31287069828345,-2.61491669716811,0.0276792667964954,0.999895351600856,-4.58682050839747
"8","2605",84,59,103,7,0,2,4.48105621148248,0.0827889056838013,3.36595288453792,0.00811967800097008,0.999895351600856,-4.58156663992048
"9","2732",141,91,214,220,1312,534,-2.63860775383255,4.4814508659753,-2.53453558130392,0.0316103408663087,0.999895351600856,-4.55134107990319
"10","2886",1868,592,135,307,24,48,2.23890258271869,3.98638018442777,2.98786334523626,0.0149840045406239,0.999895351600856,-4.54729107923979
"11","3332",344,273,176,508,362,308,-1.17117224905194,4.67117999719912,-2.24930657172839,0.0506005683228208,0.999895351600856,-4.55686292537599
"12","4133",38,39,54,95,57,67,-1.50634834033312,2.18620277936623,-2.05858877559503,0.0691357308202952,0.999895351600856,-4.57592002616173
"13","4657",40,44,21,168,31,35,-1.51976330066199,1.84070176654284,-2.07890039042439,0.0668859491776465,0.999895351600856,-4.57748599695692
"14","5369",5731,1461,14154,20081,15684,22409,-2.4544614147797,9.62468151404787,-2.38619743931832,0.0403854065462643,0.999895351600856,-4.5569789758849
"15","5378",28,10,15,30,58,89,-2.23096807704189,1.29050869470973,-2.36841756072341,0.0415875415984239,0.999895351600856,-4.57732205675685
"16","6570",6557,2887,941,1901,453,810,1.00320425562292,6.95210543819191,2.13905667509889,0.0606285712554363,0.999895351600856,-4.55840098142725
"17","7712",916,216,7978,14065,6044,7390,-3.37421511494914,8.00526390979025,-2.41016696116472,0.0388190084860958,0.999895351600856,-4.55255135437615
"18","8177",20,22,13,49,15,49,-1.65624883072316,1.01598879002913,-2.13466199937138,0.0610658816255431,0.999895351600856,-4.58110853664001
"19","8275",33,11,30,59,34,56,-1.83495945429302,1.43710670884941,-2.41745466292392,0.0383547983564095,0.999895351600856,-4.57508616074737
"20","979",1069,146,891,1925,1645,2963,-2.64911614951909,6.41078554280312,-3.1477723480569,0.0115459102961512,0.999895351600856,-4.52927778186746
